x         P1:      P2:       P3:       P4:      P5:
0.0      0.00    -0.500    -0.000     0.375    0.0000
0.1      0.10    -0.485    -0.147     0.338    0.1788
0.2      0.20    -0.440    -0.280     0.232    0.3075
0.3      0.30    -0.365    -0.383     0.073    0.3454
0.4      0.40    -0.260    -0.440    -0.113    0.2706
0.5      0.50    -0.125    -0.438    -0.289    0.0898
0.6      0.60     0.040    -0.360    -0.408   -0.1526
0.7      0.70     0.235    -0.192    -0.412   -0.3652
0.8      0.80     0.460     0.080    -0.233   -0.3995
0.9      0.90     0.715     0.473     0.208   -0.0411
1.0      1.00     1.000     1.000     1.000    1.0000
